359,2075
170,2027
318,2003
448,1991
883,1953
203,1939
132,1928
265,1898
572,1889
733,1887
378,1829
334,1824
107,1774
111,1721
168,1709
792,1684
146,1633
534,1598
120,1591
714,1570
638,1564
97,1552
1412,1546
1171,1555
987,1530
160,1522
617,1519
1351,1517
539,1509
875,1505
1047,1505
1163,1503
1241,1492
265,1485
1310,1467
362,1447
272,1441
1510,1436
822,1435
636,1428
1422,1423
1361,1381
588,1375
361,1351
317,1341
1302,1337
1422,1310
649,1306
1283,1295
451,1280
1622,1259
73,1248
555,1244
932,1240
863,1238
1495,1203
1635,1201
1073,1194
474,1183
54,1170
880,1166
262,1143
746,1137
69,1127
942,1119
1211,1119
609,1117
171,1104
494,1097
1192,1064
700,1057
617,1051
1574,1046
807,1047
387,1040
1662,1025
707,1020
1124,1015
1422,977
1571,969
69,952
1511,948
35,910
1045,905
1325,902
1377,875
1260,873
1717,861
1210,858
1475,837
1303,835
811,836
258,819
631,790
1128,788
1794,788
249,747
341,726
987,717
519,722
1198,714
1644,699
906,683
264,685
1018,675
1435,670
1336,653
1779,647
507,640
168,623
1497,622
250,613
1632,609
801,605
946,602
78,601
1728,581
847,566
1332,563
1082,551
164,535
801,525
947,523
1312,500
241,501
522,499
446,489
112,480
547,459
480,453
789,446
628,441
336,438
713,434
984,419
517,420
942,416
671,417
1131,413
566,403
1046,389
1596,377
286,371
208,369
1688,370
1437,365
816,365
753,361
540,351
615,345
352,343
1190,339
190,327
1350,321
442,293
1760,294
132,286
967,282
790,275
542,275
356,265
1265,252
1010,250
395,247
567,233
1506,231
1024,208
1538,190
737,185
1117,175
363,174
629,168
1217,164
1325,163
777,149
1385,131
1099,128
658,128
1053,104
254,102
562,89
199,85
646,80
1093,69
1561,72
502,57
1134,49
588,40
82,39
